Example,Mood,Recommendation
Feeling sooo tired right now!,Tired,Bikram Yoga
feelin' kinda tired today,Tired,Bikram Yoga
"Probably tired, not sure though.",Tired,Bikram Yoga
Sorta tired... does that count?,Tired,Bikram Yoga
"coffee first, then tired mood",Tired,Bikram Yoga
"coffee first, then tired mood",Tired,Bikram Yoga
feelin' kinda tired today,Tired,Bikram Yoga
Feeling sooo tired right now!,Tired,Bikram Yoga
"coffee first, then tired mood",Tired,Bikram Yoga
"Ugh, IDK maybe tired 😞",Tired,Bikram Yoga
"bit tired, bit something else...",Tired,Bikram Yoga
"IDK what I feel rn, maybe tired?",Tired,Bikram Yoga
tired ??? not sure tho.,Tired,Bikram Yoga
Kinda tired and excited at once.,Tired,Bikram Yoga
Feeling sooo tired right now!,Tired,Bikram Yoga
"bit tired, bit something else...",Tired,Bikram Yoga
"coffee first, then tired mood",Tired,Bikram Yoga
"Tired and a bit anxious, I guess.",Tired,Bikram Yoga
"IDK what I feel rn, maybe tired?",Tired,Bikram Yoga
"Probably tired, not sure though.",Tired,Bikram Yoga
"IDK what I feel rn, maybe tired?",Tired,Bikram Yoga
"Not sure, tired? or something else?",Tired,Bikram Yoga
"Tired and a bit anxious, I guess.",Tired,Bikram Yoga
Feeling tired but also okay.,Tired,Bikram Yoga
Feeling tired but also okay.,Tired,Bikram Yoga
Just tired vibes rn...,Tired,Bikram Yoga
"bit tired, bit something else...",Tired,Bikram Yoga
Feeling tired but also okay.,Tired,Bikram Yoga
"Tired and a bit anxious, I guess.",Tired,Bikram Yoga
"IDK what I feel rn, maybe tired?",Tired,Bikram Yoga
"Honestly, no clue, but maybe tired.",Tired,Bikram Yoga
Somewhere between tired and fine.,Tired,Bikram Yoga
"helppp, tired mood I think?",Tired,Bikram Yoga
"Ugh, IDK maybe tired 😞",Tired,Bikram Yoga
Kinda tired and excited at once.,Tired,Bikram Yoga
"Probably tired, not sure though.",Tired,Bikram Yoga
Feeling tired but also okay.,Tired,Bikram Yoga
Feeling sooo tired right now!,Tired,Bikram Yoga
Feeling tired but also okay.,Tired,Bikram Yoga
Just tired vibes rn...,Tired,Bikram Yoga
Somewhere between tired and fine.,Tired,Bikram Yoga
tired ??? not sure tho.,Tired,Bikram Yoga
feelin' kinda tired today,Tired,Bikram Yoga
"helppp, tired mood I think?",Tired,Bikram Yoga
Kinda tired and excited at once.,Tired,Bikram Yoga
"Tired and a bit anxious, I guess.",Tired,Bikram Yoga
